               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095161,              2.2983,            0.027187,            0.013912,             0.23684,             0.18568,            0.096236,            0.045004,             0.17633,            0.025531,              0.0856,              0.0016,              0.0016
                   1,             0.07949,            0.072703,            0.024605,           0.0030029,             0.33882,            0.028973,           0.0066714,            0.061361,            0.038961,            0.023352,            0.070289,           0.0032891,           0.0032891
                   2,            0.062707,             0.04697,            0.019068,           0.0068543,                 0.5,            0.040053,            0.006578,            0.062135,            0.032218,            0.021167,            0.054967,            0.004967,            0.004967
                   3,            0.054145,            0.046574,            0.013825,           0.0032149,                 0.5,             0.16613,             0.06867,            0.053576,            0.027639,            0.019327,            0.039634,           0.0066337,           0.0066337
                   4,            0.051384,            0.044376,            0.010561,           0.0027729,               0.625,            0.052664,            0.024733,            0.042349,             0.02787,             0.01403,            0.024289,           0.0082891,           0.0082891
                   5,            0.048237,            0.042599,           0.0089574,              0.5115,                0.25,            0.013271,           0.0039458,            0.070786,            0.023444,            0.013013,            0.009835,            0.009835,            0.009835
                   6,            0.045931,            0.041336,           0.0072044,             0.59225,             0.15789,             0.12006,            0.055854,            0.058387,            0.021819,            0.025955,            0.009835,            0.009835,            0.009835
                   7,            0.042581,            0.040709,            0.006893,             0.51944,            0.092105,            0.022426,            0.011502,            0.051175,            0.026118,            0.031104,            0.009802,            0.009802,            0.009802
                   8,             0.04213,            0.036354,           0.0064807,             0.88875,             0.36785,             0.36361,             0.27462,            0.044499,            0.022749,            0.031532,            0.009769,            0.009769,            0.009769
                   9,            0.041319,            0.033762,           0.0061478,             0.85655,              0.3925,             0.35905,             0.28363,            0.040325,            0.019666,            0.027438,            0.009736,            0.009736,            0.009736
                  10,            0.036619,             0.03287,           0.0054108,             0.75403,             0.42126,             0.31862,             0.22716,            0.041334,            0.020523,            0.017466,            0.009703,            0.009703,            0.009703
                  11,             0.03699,            0.030798,           0.0048712,             0.89135,                 0.5,             0.39385,             0.31027,            0.040082,            0.013993,            0.012984,             0.00967,             0.00967,             0.00967
                  12,            0.038159,            0.028801,           0.0048048,             0.88671,             0.49414,              0.4089,             0.30456,            0.038613,            0.014306,            0.014072,            0.009637,            0.009637,            0.009637
                  13,            0.033995,            0.027145,           0.0046187,             0.85109,             0.47368,             0.37283,             0.24796,            0.042439,             0.01494,           0.0075066,            0.009604,            0.009604,            0.009604
                  14,            0.034149,            0.027553,            0.003857,             0.85932,             0.43696,             0.38676,             0.28416,             0.04761,            0.012269,            0.002235,            0.009571,            0.009571,            0.009571
                  15,            0.032988,            0.026125,           0.0045948,             0.84804,             0.42105,             0.39953,             0.29896,            0.040436,            0.010329,           0.0030893,            0.009538,            0.009538,            0.009538
                  16,             0.03286,            0.026448,           0.0041809,             0.79428,             0.38158,             0.36497,              0.2781,            0.034633,            0.012556,           0.0029047,            0.009505,            0.009505,            0.009505
                  17,            0.030567,            0.025649,            0.003786,             0.87552,             0.47638,              0.4044,              0.3193,            0.032667,            0.011296,           0.0031563,            0.009472,            0.009472,            0.009472
                  18,             0.03128,            0.024869,           0.0034282,             0.88737,                 0.5,             0.41524,             0.28588,            0.042072,            0.010798,           0.0078377,            0.009439,            0.009439,            0.009439
                  19,            0.030243,            0.024903,           0.0027225,             0.88691,                 0.5,             0.41424,             0.31105,            0.040152,            0.010524,            0.010515,            0.009406,            0.009406,            0.009406
                  20,            0.030371,            0.024872,           0.0034346,             0.80766,              0.4841,             0.41505,             0.18011,            0.046048,            0.015108,           0.0034191,            0.009373,            0.009373,            0.009373
                  21,            0.030621,            0.024544,           0.0034067,             0.91398,                 0.5,             0.43661,             0.33995,             0.03258,            0.011795,           0.0034069,             0.00934,             0.00934,             0.00934
                  22,            0.029031,            0.024609,           0.0035506,             0.89479,             0.48684,             0.42951,              0.2992,            0.034825,            0.010513,           0.0052647,            0.009307,            0.009307,            0.009307
                  23,            0.029218,            0.024422,           0.0029283,             0.88679,                 0.5,             0.39515,             0.31503,            0.037509,            0.012648,            0.011042,            0.009274,            0.009274,            0.009274
                  24,            0.026876,            0.024212,            0.003386,             0.88748,                 0.5,             0.39963,             0.30722,            0.030505,           0.0090771,            0.006868,            0.009241,            0.009241,            0.009241
                  25,            0.027043,            0.023132,           0.0030149,             0.87507,                 0.5,             0.38585,             0.25676,            0.039732,            0.013936,            0.017015,            0.009208,            0.009208,            0.009208
                  26,            0.028019,            0.023745,            0.002942,             0.88867,             0.48684,             0.45017,             0.32628,            0.031527,            0.012565,           0.0060635,            0.009175,            0.009175,            0.009175
                  27,            0.027557,             0.02416,           0.0031765,             0.88936,                 0.5,             0.44575,             0.35555,            0.033408,           0.0098057,           0.0045071,            0.009142,            0.009142,            0.009142
                  28,            0.026881,            0.024123,           0.0036525,             0.88571,             0.48851,             0.44011,             0.34906,            0.036433,           0.0092511,           0.0025131,            0.009109,            0.009109,            0.009109
                  29,            0.026123,            0.023697,            0.002303,             0.89396,                 0.5,             0.42075,             0.33851,             0.03739,           0.0092645,           0.0053291,            0.009076,            0.009076,            0.009076
                  30,            0.025561,            0.022962,            0.002516,             0.89542,             0.49754,             0.39561,              0.2784,            0.036041,            0.010254,           0.0080849,            0.009043,            0.009043,            0.009043
                  31,            0.025484,             0.02292,           0.0025719,             0.89369,                 0.5,             0.41379,             0.31309,            0.036734,             0.00911,           0.0056391,             0.00901,             0.00901,             0.00901
                  32,            0.025499,            0.021901,           0.0023995,             0.89434,                 0.5,             0.40852,             0.32058,            0.031893,           0.0094166,            0.010081,            0.008977,            0.008977,            0.008977
                  33,            0.025225,            0.022832,            0.002441,             0.91074,                 0.5,              0.4366,             0.33703,            0.032332,            0.010372,           0.0050129,            0.008944,            0.008944,            0.008944
                  34,            0.025728,            0.022811,            0.002748,             0.85252,                 0.5,              0.4077,             0.29627,            0.033374,            0.010221,            0.010966,            0.008911,            0.008911,            0.008911
                  35,            0.024369,             0.02271,           0.0028762,             0.89352,                 0.5,             0.42228,             0.31145,            0.032958,            0.010267,           0.0041727,            0.008878,            0.008878,            0.008878
                  36,            0.024335,            0.023388,           0.0024909,             0.91945,                 0.5,             0.46098,             0.38405,            0.036635,           0.0094442,           0.0036858,            0.008845,            0.008845,            0.008845
                  37,            0.024752,             0.02351,           0.0024361,              0.9105,                 0.5,             0.47097,             0.35557,            0.034653,           0.0097437,           0.0077662,            0.008812,            0.008812,            0.008812
                  38,            0.024183,            0.021001,           0.0024173,             0.89865,                 0.5,             0.41786,             0.31788,            0.030333,            0.010359,           0.0071138,            0.008779,            0.008779,            0.008779
                  39,            0.023489,            0.021853,           0.0024361,             0.88712,                 0.5,             0.45265,             0.36405,            0.030441,           0.0091362,           0.0023243,            0.008746,            0.008746,            0.008746
                  40,            0.023043,            0.021827,           0.0027179,             0.89463,                 0.5,             0.44631,             0.36917,            0.034781,           0.0090799,           0.0021803,            0.008713,            0.008713,            0.008713
                  41,            0.024988,             0.02212,           0.0026458,             0.91004,                 0.5,             0.47125,             0.38409,            0.032427,           0.0091863,           0.0039347,             0.00868,             0.00868,             0.00868
                  42,             0.02312,            0.022217,           0.0027555,               0.914,             0.46053,             0.45367,             0.36509,            0.028847,           0.0089941,           0.0076422,            0.008647,            0.008647,            0.008647
                  43,            0.024922,            0.021409,           0.0028967,             0.89182,             0.48684,             0.42778,             0.35044,            0.029586,           0.0097456,           0.0074514,            0.008614,            0.008614,            0.008614
                  44,            0.022754,             0.02066,           0.0021405,             0.90011,             0.48684,             0.41695,             0.33395,             0.02839,           0.0092835,            0.010299,            0.008581,            0.008581,            0.008581
                  45,            0.022442,            0.021445,           0.0019254,             0.91284,             0.49859,             0.45533,             0.36678,            0.029835,           0.0092707,           0.0027885,            0.008548,            0.008548,            0.008548
                  46,            0.023856,            0.021439,           0.0023489,             0.90412,             0.49914,             0.43928,             0.35401,            0.028716,           0.0089397,           0.0046486,            0.008515,            0.008515,            0.008515
                  47,            0.022296,             0.02162,           0.0020639,             0.90411,              0.4991,             0.43166,             0.33507,            0.027131,           0.0091429,           0.0032804,            0.008482,            0.008482,            0.008482
                  48,            0.021906,            0.021824,            0.001713,             0.88679,                 0.5,             0.44536,             0.34206,            0.032319,           0.0092554,           0.0025337,            0.008449,            0.008449,            0.008449
                  49,             0.02224,              0.0215,           0.0023395,             0.89361,             0.48683,             0.45216,             0.35748,            0.032315,            0.011358,           0.0022684,            0.008416,            0.008416,            0.008416
                  50,            0.021836,            0.021498,           0.0020413,              0.9041,                 0.5,             0.45928,             0.38206,            0.026176,           0.0093479,           0.0023689,            0.008383,            0.008383,            0.008383
                  51,             0.02102,            0.021109,           0.0022202,             0.90266,             0.48994,             0.44237,             0.31605,            0.032859,            0.012191,            0.006332,             0.00835,             0.00835,             0.00835
                  52,            0.020914,            0.021565,           0.0020991,             0.89539,             0.49737,             0.44221,             0.37528,            0.028008,           0.0090556,           0.0030153,            0.008317,            0.008317,            0.008317
                  53,            0.021538,            0.020886,           0.0021119,             0.90805,                 0.5,             0.42628,             0.31261,            0.032599,            0.010878,            0.013669,            0.008284,            0.008284,            0.008284
                  54,            0.021516,            0.020545,           0.0018888,             0.91267,             0.49748,             0.47118,             0.36555,            0.032356,           0.0088115,           0.0052311,            0.008251,            0.008251,            0.008251
                  55,            0.021702,            0.020958,           0.0018352,             0.91185,                 0.5,             0.45732,             0.36532,            0.035202,           0.0088286,           0.0012585,            0.008218,            0.008218,            0.008218
                  56,            0.020571,            0.021075,           0.0023761,             0.91132,                 0.5,             0.46218,             0.37846,            0.032247,           0.0093589,          0.00099106,            0.008185,            0.008185,            0.008185
                  57,             0.02134,            0.021092,           0.0022772,             0.94147,             0.49627,             0.46154,             0.39091,            0.033569,           0.0091758,           0.0011711,            0.008152,            0.008152,            0.008152
                  58,            0.021384,            0.021674,           0.0020228,             0.89915,                 0.5,              0.4407,             0.33562,            0.033223,           0.0093985,           0.0029072,            0.008119,            0.008119,            0.008119
                  59,             0.02126,            0.020914,           0.0018803,             0.91973,                 0.5,             0.45765,             0.38853,            0.031417,           0.0090499,            0.001687,            0.008086,            0.008086,            0.008086
                  60,            0.021305,            0.021557,           0.0017274,             0.88659,                 0.5,             0.42508,             0.34913,            0.035885,            0.010001,          0.00071754,            0.008053,            0.008053,            0.008053
                  61,            0.020616,            0.020086,           0.0014097,             0.88996,             0.48684,             0.43807,             0.34102,            0.033255,           0.0080013,          0.00074978,             0.00802,             0.00802,             0.00802
                  62,            0.020287,            0.020951,           0.0018919,             0.93443,                 0.5,             0.44857,             0.37981,            0.030626,           0.0081015,          0.00088024,            0.007987,            0.007987,            0.007987
                  63,             0.02179,            0.019564,           0.0022894,             0.93036,             0.47368,             0.45395,             0.38914,            0.027246,           0.0088716,          0.00098324,            0.007954,            0.007954,            0.007954
                  64,            0.021186,             0.02076,           0.0020219,             0.92213,                 0.5,             0.46755,             0.37498,             0.02869,           0.0094795,           0.0013268,            0.007921,            0.007921,            0.007921
                  65,            0.020075,            0.020675,           0.0022185,             0.93652,                 0.5,             0.47527,             0.39455,            0.031991,           0.0086355,           0.0018539,            0.007888,            0.007888,            0.007888
                  66,            0.020262,            0.020211,           0.0020586,             0.91114,                 0.5,             0.46097,             0.38491,            0.031914,           0.0090714,           0.0028725,            0.007855,            0.007855,            0.007855
                  67,            0.019464,            0.020716,           0.0017695,             0.90312,             0.48684,             0.42626,             0.32256,            0.030674,            0.010641,             0.00242,            0.007822,            0.007822,            0.007822
                  68,            0.019903,            0.019457,           0.0014053,             0.90311,                 0.5,             0.45341,             0.37947,            0.030663,           0.0087008,           0.0059475,            0.007789,            0.007789,            0.007789
                  69,            0.019645,            0.020569,           0.0018336,             0.91409,             0.48684,             0.45671,             0.35459,            0.030187,           0.0091677,           0.0049982,            0.007756,            0.007756,            0.007756
                  70,            0.019892,              0.0195,           0.0014665,             0.91859,                 0.5,              0.4648,             0.39171,            0.032143,           0.0085444,          0.00075741,            0.007723,            0.007723,            0.007723
                  71,            0.019225,             0.01996,           0.0018907,             0.91175,                 0.5,             0.45528,             0.37646,            0.026821,           0.0089741,           0.0014872,             0.00769,             0.00769,             0.00769
                  72,            0.019127,            0.020006,           0.0018105,             0.94112,             0.48684,             0.46218,             0.37155,            0.031744,           0.0091887,            0.001226,            0.007657,            0.007657,            0.007657
                  73,            0.018918,            0.019981,           0.0014808,             0.89471,                 0.5,              0.4426,             0.36549,             0.02952,           0.0087271,           0.0066923,            0.007624,            0.007624,            0.007624
                  74,            0.019977,            0.019797,           0.0013222,             0.90457,                 0.5,             0.43202,             0.32056,            0.032648,            0.010623,            0.004702,            0.007591,            0.007591,            0.007591
                  75,            0.019428,            0.020435,           0.0020949,             0.90312,                 0.5,             0.45446,             0.36058,             0.02912,           0.0092397,           0.0084028,            0.007558,            0.007558,            0.007558
                  76,            0.019764,            0.020032,           0.0021529,             0.92205,                 0.5,             0.46748,              0.3915,            0.029112,           0.0095243,           0.0023655,            0.007525,            0.007525,            0.007525
                  77,            0.018967,            0.019585,           0.0017574,             0.91343,             0.46053,             0.43613,             0.35514,            0.029824,            0.009501,           0.0014913,            0.007492,            0.007492,            0.007492
                  78,            0.018564,            0.019955,           0.0014488,              0.9128,             0.49832,             0.49512,             0.39626,            0.027929,           0.0085449,           0.0052489,            0.007459,            0.007459,            0.007459
                  79,            0.019074,            0.020079,           0.0018848,             0.91221,                 0.5,             0.46645,             0.37686,             0.02867,           0.0089192,           0.0025381,            0.007426,            0.007426,            0.007426
                  80,            0.018078,            0.019772,           0.0012079,             0.90394,             0.49801,             0.45904,             0.37225,            0.026365,           0.0090437,           0.0010769,            0.007393,            0.007393,            0.007393
                  81,            0.019296,            0.020522,           0.0012612,             0.91945,                 0.5,             0.47586,             0.37683,            0.028337,           0.0090332,          0.00088711,             0.00736,             0.00736,             0.00736
                  82,            0.019173,            0.021015,           0.0014102,             0.93144,              0.4969,             0.47396,             0.37955,            0.030269,           0.0086274,          0.00051107,            0.007327,            0.007327,            0.007327
                  83,            0.017544,            0.019872,           0.0013396,             0.92641,                 0.5,             0.47027,             0.38181,            0.031361,           0.0085192,          0.00053015,            0.007294,            0.007294,            0.007294
                  84,            0.017651,             0.01938,           0.0017548,             0.92019,             0.48684,             0.47285,             0.39333,              0.0317,           0.0092053,           0.0006156,            0.007261,            0.007261,            0.007261
                  85,            0.018507,             0.01922,           0.0015777,             0.91157,                 0.5,             0.45111,             0.35708,            0.028937,           0.0099754,          0.00082512,            0.007228,            0.007228,            0.007228
                  86,            0.018094,            0.020392,           0.0015411,             0.91067,                 0.5,             0.43924,             0.39143,            0.031402,           0.0083818,          0.00077925,            0.007195,            0.007195,            0.007195
                  87,            0.017876,             0.01966,           0.0014035,             0.89757,                 0.5,             0.51997,             0.39248,            0.029527,           0.0082698,           0.0005847,            0.007162,            0.007162,            0.007162
                  88,            0.017401,            0.018844,           0.0011471,             0.92533,             0.47368,             0.48076,             0.37169,            0.029102,           0.0089078,          0.00072174,            0.007129,            0.007129,            0.007129
                  89,            0.017857,            0.019077,          0.00099543,              0.9305,              0.4891,             0.46909,             0.38594,            0.033742,           0.0089469,          0.00039439,            0.007096,            0.007096,            0.007096
                  90,            0.017787,            0.019415,          0.00094536,              0.9389,             0.47263,             0.46326,             0.37538,            0.032479,           0.0083528,          0.00041556,            0.007063,            0.007063,            0.007063
                  91,            0.017813,            0.019448,           0.0012115,             0.94008,             0.48328,             0.47896,              0.3851,            0.032679,           0.0092087,          0.00050879,             0.00703,             0.00703,             0.00703
                  92,            0.017919,            0.019309,           0.0013973,             0.92958,             0.48165,             0.46244,             0.37549,             0.03093,           0.0084805,          0.00049815,            0.006997,            0.006997,            0.006997
                  93,            0.018583,            0.019009,           0.0016377,             0.90129,                 0.5,             0.44783,              0.3647,            0.028367,           0.0090747,          0.00073509,            0.006964,            0.006964,            0.006964
                  94,            0.018001,            0.020254,           0.0014469,             0.88827,                 0.5,             0.57341,             0.44938,            0.027274,           0.0087352,          0.00061369,            0.006931,            0.006931,            0.006931
                  95,            0.017001,            0.018936,           0.0011653,             0.88074,                 0.5,             0.56095,             0.42809,            0.027437,           0.0084419,          0.00096502,            0.006898,            0.006898,            0.006898
                  96,            0.017799,            0.019147,           0.0017054,             0.92857,             0.47365,             0.45343,             0.36782,            0.030833,           0.0087523,          0.00053034,            0.006865,            0.006865,            0.006865
